cfg_batch_size,cfg_num_heads,cfg_head_dim,cfg_seq_len,cfg_dtype,cfg_device,cfg_mode,cfg_pattern_type,cfg_backend,cfg_causal,cfg_topk,cfg_window_size,cfg_block_size,pattern_build_time_ms_mean,pattern_build_time_ms_p50,pattern_build_time_ms_p95,attention_time_ms_mean,attention_time_ms_p50,attention_time_ms_p95,total_time_ms_mean,total_time_ms_p50,total_time_ms_p95,peak_memory_mb,rel_err,cosine_sim,keep_ratio,sparsity_ratio,_status
1,8,64,512,fp16,cuda,prefill,local_window,masked_sdpa,True,,64,,0.031508480049669746,0.03174399957060814,0.03686400130391121,0.061941760145127776,0.06143999844789505,0.07178240194916724,0.09007040090858937,0.09112000092864037,0.09630720280110835,24.875,0.9716343283653259,0.7101563215255737,0.1173095703125,0.8826904296875,ok
1,8,64,512,fp16,cuda,prefill,local_window,masked_sdpa,True,,128,,0.0319897599122487,0.030719999223947525,0.0368656013160944,0.06193120025098324,0.060416001826524734,0.0655359998345375,0.09540544100105762,0.09216000139713287,0.10649599879980087,24.875,0.5503398180007935,0.8740909695625305,0.218994140625,0.781005859375,ok
1,8,64,512,fp16,cuda,prefill,local_window,masked_sdpa,True,,256,,0.033902080282568935,0.03379200026392937,0.03589120097458362,0.07071680042892695,0.060416001826524734,0.075724800676107,0.09401056103408337,0.09113600105047226,0.09733120314776897,24.875,0.24109061062335968,0.9720094203948975,0.37548828125,0.62451171875,ok
1,8,64,512,fp16,cuda,prefill,bigbird,masked_sdpa,True,64,,,2.1826867234706877,2.167296051979065,2.293657648563385,0.0616243202984333,0.06092800013720989,0.06656000018119812,2.194698247909546,2.1934080123901367,2.234419286251068,26.625,0.9751373529434204,0.7131810188293457,0.2222222222222222,0.7777777777777778,ok
1,8,64,512,fp16,cuda,prefill,bigbird,masked_sdpa,True,128,,,2.584647686481476,2.5804800987243652,2.637107253074646,0.060323839969933034,0.060416001826524734,0.0655359998345375,2.650685453414917,2.649087905883789,2.683033525943756,26.625,0.5606738924980164,0.8710731267929077,0.43420291179337234,0.5657970882066277,ok
1,8,64,512,fp16,cuda,decode,dense,dense_sdpa,True,,,,0.004485119965393096,0.004095999989658594,0.005119999870657921,0.009912320030853152,0.010239999741315842,0.013311999849975109,0.01335295997094363,0.010239999741315842,0.021503999829292297,9.1279296875,0.0,1.000000238418579,1.0,0.0,ok
1,8,64,512,fp16,cuda,decode,topk,masked_sdpa,True,32,,,0.005373439970426262,0.005119999870657921,0.008191999979317188,0.07641056071966887,0.06860800087451935,0.09118720106780528,0.07128000099211931,0.07065600156784058,0.07894879691302775,9.634765625,1.0113908052444458,0.036883000284433365,1.0,0.0,ok
1,8,64,512,fp16,cuda,decode,topk,masked_sdpa,True,64,,,0.005335039941128343,0.005119999870657921,0.008191999979317188,0.0661200001090765,0.0655359998345375,0.0727040022611618,0.06852512061595917,0.06758400052785873,0.07582720331847667,9.634765625,1.013167142868042,-0.0006948569789528847,1.0,0.0,ok
1,8,64,512,fp16,cuda,decode,topk,masked_sdpa,True,128,,,0.004986559954704717,0.005119999870657921,0.006144000217318535,0.07200640056282281,0.06604800000786781,0.07377760261297225,0.06686496049165726,0.06656000018119812,0.07372800260782242,9.634765625,1.0121815204620361,-0.04525844752788544,1.0,0.0,ok
1,8,64,512,fp16,cuda,decode,local_window,masked_sdpa,True,,64,,0.00662528004962951,0.006144000217318535,0.010209600394591688,0.06221440009772777,0.06092800013720989,0.06660960018634796,0.06854656010866166,0.06348799914121628,0.07070560157299041,9.63525390625,0.0,0.9999999403953552,0.001953125,0.998046875,ok
