cfg_batch_size,cfg_num_heads,cfg_head_dim,cfg_seq_len,cfg_dtype,cfg_device,cfg_mode,cfg_pattern_type,cfg_backend,cfg_causal,cfg_topk,cfg_window_size,cfg_block_size,timing_source,pattern_build_time_ms_mean,pattern_build_time_ms_p50,pattern_build_time_ms_p95,attention_time_ms_mean,attention_time_ms_p50,attention_time_ms_p95,total_time_ms_mean,total_time_ms_p50,total_time_ms_p95,peak_memory_mb,rel_err,cosine_sim,kl_divergence,top1_match_rate,keep_ratio,sparsity_ratio,_status
10,8,256,512,fp16,cuda,prefill,topk,masked_sdpa,True,64,,,proxy,0.031673599984496835,0.03167999908328056,0.03276799991726875,1.0965273582935333,1.0933600068092346,1.1251936554908752,1.126935029029846,1.124351978302002,1.1520224511623383,233.375,0.3842768967151642,0.952620267868042,0.0019459565777632402,0.6311279535293579,0.23416179337231968,0.7658382066276803,ok
10,8,256,512,fp16,cuda,prefill,topk,masked_sdpa,True,128,,,proxy,0.03214591989293694,0.03177599981427193,0.0336063988506794,1.1831174492835999,1.1802879571914673,1.212683230638504,1.2115580868721008,1.2082239985466003,1.2429839730262757,258.375,0.1715114414691925,0.9879282712936401,0.00038674058079930795,0.7924560904502869,0.4371345029239766,0.5628654970760234,ok
10,8,256,512,fp16,cuda,prefill,bigbird,masked_sdpa,True,64,,,proxy,2.1675238490104674,2.1667840480804443,2.194756829738617,0.43370848029851916,0.4313279986381531,0.44723200201988217,2.6118544054031374,2.6065280437469482,2.656368088722229,212.6328125,0.9910181760787964,0.706143856048584,0.012975582532323683,0.21840821206569672,0.2222222222222222,0.7777777777777778,ok
10,8,256,512,fp16,cuda,prefill,bigbird,masked_sdpa,True,128,,,proxy,2.6527116894721985,2.648591995239258,2.6966736197471617,0.4320300793647766,0.43007999658584595,0.43519999831914896,3.0717427158355712,3.0632959604263306,3.1139535307884216,212.63671875,0.5588634014129639,0.8722481727600098,0.0041610055217449985,0.39765626192092896,0.43420291179337234,0.5657970882066277,ok
10,8,256,512,fp16,cuda,prefill,bigbird,triton_bigbird,True,64,,,real_cuda,2.1617654275894167,2.1536799669265747,2.212172877788544,0.11311200074851513,0.1127840019762516,0.11468800157308578,2.2802995252609253,2.280400037765503,2.3101439476013184,110.2109375,0.5868105292320251,0.8615161776542664,0.0045689603771221525,0.3847412168979645,0.2222222222222222,0.7777777777777778,ok
10,8,256,512,fp16,cuda,prefill,bigbird,triton_bigbird,True,128,,,real_cuda,2.6151305651664734,2.608191967010498,2.6564287662506105,0.1636486393213272,0.16257599741220474,0.17023199796676633,2.862709758281708,2.8446719646453857,3.028316819667816,110.25390625,0.38315731287002563,0.9335725903511047,0.00194009442645344,0.534594714641571,0.43420291179337234,0.5657970882066277,ok
10,8,256,512,fp16,cuda,decode,dense,dense_sdpa,True,,,,real_cuda,0.004472959961276501,0.0043039999436587095,0.005119999870657921,0.012792640142142772,0.012512000277638435,0.013311999849975109,0.01300255997106433,0.013055999763309956,0.013311999849975109,48.3203125,0.0,1.0,0.0,1.0,1.0,0.0,ok
10,8,256,512,fp16,cuda,decode,topk,masked_sdpa,True,64,,,proxy,0.00556288001127541,0.0054240000899881124,0.006144000217318535,0.07801984075456858,0.07156800106167793,0.08616959936916828,0.08466016121208668,0.07372800260782242,0.10792959742248028,48.78125,1.00899338722229,0.012814994901418686,0.5013866552772415,0.0,1.0,0.0,ok
10,8,256,512,fp16,cuda,decode,topk,masked_sdpa,True,128,,,proxy,0.005457919980399311,0.005183999892324209,0.006144000217318535,0.07651680082082749,0.07168000191450119,0.08103039786219596,0.07638432092964649,0.07281600311398506,0.08212479799985885,48.78515625,1.0042498111724854,0.014430031180381775,0.48679891797821295,0.0,1.0,0.0,ok
10,8,256,512,fp16,cuda,decode,bigbird,masked_sdpa,True,64,,,proxy,2.1748745608329774,2.1770238876342773,2.2087072134017944,0.06734271995723247,0.06652799993753433,0.06963200122117996,2.2579049587249758,2.244607925415039,2.342196750640869,48.7822265625,1.0013020038604736,0.018422309309244156,0.480949942260616,0.0,0.2222222222222222,0.7777777777777778,ok
10,8,256,512,fp16,cuda,decode,bigbird,masked_sdpa,True,128,,,proxy,2.6747664046287536,2.674175977706909,2.7069440603256227,0.06824832029640675,0.06758400052785873,0.07065600156784058,2.76248033285141,2.7533600330352783,2.9140432000160215,48.7822265625,1.0003186464309692,0.03206632658839226,0.500104625098588,0.0,0.43420291179337234,0.5657970882066277,ok
10,8,256,512,fp16,cuda,decode,bigbird,triton_bigbird,True,64,,,real_cuda,2.169218237400055,2.1646080017089844,2.2180960893630983,0.030670400150120257,0.02969600073993206,0.03281279988586902,2.2468687963485716,2.228335976600647,2.331136083602905,48.24560546875,1.0023337602615356,0.05728026479482651,0.49868521820856976,0.03750000149011612,0.2222222222222222,0.7777777777777778,ok
10,8,256,512,fp16,cuda,decode,bigbird,triton_bigbird,True,128,,,real_cuda,2.603632650375366,2.6004480123519897,2.669636857509613,0.0343689600750804,0.03379200026392937,0.03686400093138218,2.6497296023368837,2.643440008163452,2.7585855960845946,48.2470703125,1.003979206085205,0.03038903884589672,0.49391033895666525,0.012500000186264515,0.43420291179337234,0.5657970882066277,ok
10,8,256,1024,fp16,cuda,prefill,dense,dense_sdpa,True,,,,real_cuda,0.006092799953185022,0.004191999789327383,0.005119999870657921,0.40144927889108656,0.4004160016775131,0.4065279960632324,0.40139135777950286,0.40140798687934875,0.40379519015550613,208.4384765625,0.0,1.0,0.0,1.0,1.0,0.0,ok
10,8,256,1024,fp16,cuda,prefill,topk,masked_sdpa,True,64,,,proxy,0.05921568039804697,0.05875200033187866,0.061251200735569,4.837384624481201,4.735407829284668,5.348836612701416,5.118804488182068,5.053071975708008,5.8151439189910885,699.125,0.667018473148346,0.8935439586639404,0.0033450302548805977,0.4876464903354645,0.12103658536585366,0.8789634146341463,ok
10,8,256,1024,fp16,cuda,prefill,topk,masked_sdpa,True,128,,,proxy,0.05969856034265831,0.06022400036454201,0.06224160082638264,4.926942725181579,4.837759971618652,5.555169773101807,5.258600354194641,5.269056081771851,5.7332350730896,749.125,0.36120113730430603,0.9563480019569397,0.000980297497011578,0.636730968952179,0.23426829268292684,0.7657317073170732,ok
10,8,256,1024,fp16,cuda,prefill,bigbird,masked_sdpa,True,64,,,proxy,4.859307513237,4.832000017166138,4.990300989151001,2.6872342348098757,2.5293279886245728,2.973849594593048,7.490889282226562,7.411391973495483,7.906324958801269,666.140625,1.4544391632080078,0.558813214302063,0.015845236621187284,0.12083740532398224,0.11463414634146342,0.8853658536585366,ok
10,8,256,1024,fp16,cuda,prefill,bigbird,masked_sdpa,True,128,,,proxy,5.869620146751404,5.840863943099976,6.025350499153137,2.7227308630943297,2.7990719079971313,2.990265679359436,8.401053724288941,8.375183582305908,8.552438545227051,666.1484375,0.9189175367355347,0.7342549562454224,0.0062915162617070385,0.22486571967601776,0.232578125,0.767421875,ok
10,8,256,1024,fp16,cuda,prefill,bigbird,triton_bigbird,True,64,,,real_cuda,4.861664633750916,4.835200071334839,4.993270373344421,0.2594979193806648,0.2582240104675293,0.26321920603513715,5.183114223480224,5.207744121551514,5.300326228141785,216.296875,0.9500800967216492,0.7223148345947266,0.006770293720405259,0.21683350205421448,0.11463414634146342,0.8853658536585366,ok
10,8,256,1024,fp16,cuda,prefill,bigbird,triton_bigbird,True,128,,,real_cuda,5.864854073524475,5.8368000984191895,6.007238364219665,0.33469024002552034,0.33484798669815063,0.34508800506591797,6.211761932373047,6.210383892059326,6.353203392028808,216.3828125,0.6970759630203247,0.8195148706436157,0.0036435156674511798,0.3083862364292145,0.232578125,0.767421875,ok
10,8,256,1024,fp16,cuda,decode,dense,dense_sdpa,True,,,,real_cuda,0.004784319940954447,0.004431999986991286,0.005171199887990949,0.0127068801689893,0.012480000033974648,0.013311999849975109,0.013279680041596293,0.013167999684810638,0.013406400103121992,88.3203125,0.0,0.9999998807907104,0.0,1.0,1.0,0.0,ok
10,8,256,1024,fp16,cuda,decode,topk,masked_sdpa,True,64,,,proxy,0.005874559974763542,0.005247999913990498,0.006225600000470874,0.1463574403524399,0.14531199634075165,0.1566896006464958,0.1501875202357769,0.1464800015091896,0.15360000729560852,90.359375,1.0091636180877686,0.004774965811520815,0.5014245772577793,0.0,1.0,0.0,ok
10,8,256,1024,fp16,cuda,decode,topk,masked_sdpa,True,128,,,proxy,0.00517055997508578,0.005232000024989247,0.006144000217318535,0.14684992104768754,0.14556799829006195,0.1557423934340477,0.14843040108680725,0.14745600521564484,0.15467519983649253,90.359375,1.004677414894104,0.00661455187946558,0.4914611568295973,0.0,1.0,0.0,ok
10,8,256,1024,fp16,cuda,decode,bigbird,masked_sdpa,True,64,,,proxy,4.850008335113525,4.83076810836792,4.971775960922241,0.12508352018892765,0.1236800029873848,0.1372160017490387,5.141670713424682,5.156031847000122,5.259819078445434,90.3603515625,1.0003446340560913,0.018784955143928528,0.4948324195188885,0.0,0.11463414634146342,0.8853658536585366,ok
10,8,256,1024,fp16,cuda,decode,bigbird,masked_sdpa,True,128,,,proxy,5.8707075023651125,5.84332799911499,6.0150272130966185,0.12707104220986365,0.12619200348854065,0.1281440056860447,6.047742376327514,6.062592029571533,6.187604928016662,90.3603515625,1.000085711479187,0.02401263639330864,0.487771568973122,0.0,0.232578125,0.767421875,ok
10,8,256,1024,fp16,cuda,decode,bigbird,triton_bigbird,True,64,,,real_cuda,4.86268609046936,4.848127841949463,4.979732847213745,0.030706559643149375,0.03163199871778488,0.03281120005995035,4.942788152694702,4.9408159255981445,5.031254315376282,88.24560546875,1.0006334781646729,0.07174216210842133,0.4930079636895961,0.0,0.11463414634146342,0.8853658536585366,ok
10,8,256,1024,fp16,cuda,decode,bigbird,triton_bigbird,True,128,,,real_cuda,5.861047677993774,5.821088075637817,5.995622515678406,0.034560320042073725,0.03379200026392937,0.0369616013020277,5.944328002929687,5.956095933914185,6.076435208320618,88.2470703125,1.0028095245361328,0.036325838416814804,0.49821119043022116,0.0,0.232578125,0.767421875,ok
10,8,256,2048,fp16,cuda,prefill,dense,dense_sdpa,True,,,,real_cuda,0.004252479970455169,0.004095999989658594,0.005057599861174822,1.3172521471977234,1.356656014919281,1.3648959875106812,1.2346131134033203,1.2349439859390259,1.2380160093307495,408.7509765625,0.0,0.9999998807907104,0.0,1.0,1.0,0.0,ok
10,8,256,2048,fp16,cuda,prefill,topk,masked_sdpa,True,64,,,proxy,0.11889632083126343,0.11644800007343292,0.12083680331707,16.374590396881104,15.970864295959473,17.30269193649292,15.890591020584106,15.846816062927246,15.945867490768432,2352.125,1.0575910806655884,0.8138030767440796,0.004704611834349382,0.3663696348667145,0.061508662762323085,0.9384913372376769,ok
10,8,256,2048,fp16,cuda,prefill,topk,masked_sdpa,True,128,,,proxy,0.12614048111252488,0.11932799965143204,0.19811519831418986,16.56068920135498,16.24998378753662,17.292432880401613,16.135721340179444,16.117055892944336,16.1995569229126,2452.125,0.6357814073562622,0.8981750011444092,0.001687004545655764,0.48975831270217896,0.12106515373352855,0.8789348462664714,ok
10,8,256,2048,fp16,cuda,prefill,bigbird,masked_sdpa,True,64,,,proxy,11.586499547958374,11.619616031646729,11.760326242446899,10.106852426528931,10.065455913543701,10.150009632110596,21.498555526733398,21.47883129119873,21.680840492248535,2320.15625,2.049682378768921,0.4303360879421234,0.01774007313870012,0.06975708156824112,0.058199121522694,0.941800878477306,ok
10,8,256,2048,fp16,cuda,prefill,bigbird,masked_sdpa,True,128,,,proxy,13.296279668807983,13.349760055541992,13.515778017044067,10.096867513656616,10.069503784179688,10.150952291488647,23.23592420578003,23.216480255126953,23.39997797012329,2320.171875,1.3617537021636963,0.5881133079528809,0.007803981721354117,0.12657471001148224,0.12015245622864812,0.8798475437713519,ok
10,8,256,2048,fp16,cuda,prefill,bigbird,triton_bigbird,True,64,,,real_cuda,11.60892352104187,11.599792003631592,11.807129383087158,0.7144451171159745,0.7123200297355652,0.7309967845678329,12.146763458251954,12.128607749938965,12.365857362747192,440.46875,1.4040154218673706,0.5764039754867554,0.008299687750119881,0.120758056640625,0.058199121522694,0.941800878477306,ok
10,8,256,2048,fp16,cuda,prefill,bigbird,triton_bigbird,True,128,,,real_cuda,13.241290578842163,13.25926399230957,13.448382043838501,1.096052793264389,1.0944000482559204,1.124403178691864,14.38693733215332,14.432000160217285,14.561741018295288,440.640625,1.0815688371658325,0.6769441366195679,0.004925087459313865,0.17280273139476776,0.12015245622864812,0.8798475437713519,ok
10,8,256,2048,fp16,cuda,decode,dense,dense_sdpa,True,,,,real_cuda,0.004566719981376081,0.004191999789327383,0.005987199931405484,0.0120905601978302,0.012160000391304493,0.012297600414603947,0.01291456022299826,0.01228800043463707,0.01529920003376901,168.3203125,0.0,0.9999998807907104,0.0,1.0,1.0,0.0,ok
10,8,256,2048,fp16,cuda,decode,topk,masked_sdpa,True,64,,,proxy,0.0059596799779683355,0.005375999957323074,0.0068175999680533984,0.2655430394411087,0.2638559937477112,0.2769407898187637,0.2660780763626099,0.26521599292755127,0.2673568084836006,176.515625,1.0081809759140015,0.010306719690561295,0.49999618764004305,0.0,1.0,0.0,ok
10,8,256,2048,fp16,cuda,decode,topk,masked_sdpa,True,128,,,proxy,0.005437120017595589,0.005296000046655536,0.006111999973654747,0.26814751952886584,0.263824000954628,0.2867712065577507,0.26751039654016495,0.26521599292755127,0.27110560685396196,176.515625,1.0039582252502441,0.008847970515489578,0.5059125935304011,0.0,1.0,0.0,ok
10,8,256,2048,fp16,cuda,decode,bigbird,masked_sdpa,True,64,,,proxy,11.505488300323487,11.555295944213867,11.637081527709961,0.24336159989237785,0.24268800020217896,0.24760160669684408,11.642832326889039,11.600687980651855,11.8744478225708,176.5166015625,1.0001482963562012,0.013700062409043312,0.49144897314032043,0.0,0.058199121522694,0.941800878477306,ok
10,8,256,2048,fp16,cuda,decode,bigbird,masked_sdpa,True,128,,,proxy,13.300870418548584,13.34822416305542,13.473045158386231,0.24861887827515602,0.24780799448490143,0.2539647966623306,13.51738302230835,13.329408168792725,13.707573938369752,176.5166015625,1.0001779794692993,0.013270214200019836,0.48549761328433294,0.012500000186264515,0.12015245622864812,0.8798475437713519,ok
10,8,256,2048,fp16,cuda,decode,bigbird,triton_bigbird,True,64,,,real_cuda,11.542185287475586,11.547648429870605,11.655171060562134,0.030968960113823413,0.030719999223947525,0.03276799991726875,11.45426589012146,11.49012804031372,11.573297500610352,168.24560546875,1.0012168884277344,0.06831692904233932,0.5003864706976993,0.02500000037252903,0.058199121522694,0.941800878477306,ok
10,8,256,2048,fp16,cuda,decode,bigbird,triton_bigbird,True,128,,,real_cuda,13.352604484558105,13.352767944335938,13.497182178497315,0.03999936033040285,0.034432001411914825,0.036947201192378994,13.37550045967102,13.40294361114502,13.529776334762573,168.2470703125,1.0021007061004639,0.04238588362932205,0.49446134098014216,0.012500000186264515,0.12015245622864812,0.8798475437713519,ok
