cfg_batch_size,cfg_num_heads,cfg_head_dim,cfg_seq_len,cfg_dtype,cfg_device,cfg_mode,cfg_pattern_type,cfg_backend,cfg_causal,cfg_topk,cfg_keep_ratio,cfg_window_size,cfg_block_size,timing_source,actual_backend,pattern_build_time_ms_mean,pattern_build_time_ms_p50,pattern_build_time_ms_p95,attention_time_ms_mean,attention_time_ms_p50,attention_time_ms_p95,total_time_ms_mean,total_time_ms_p50,total_time_ms_p95,peak_memory_mb,rel_err,cosine_sim,kl_divergence,keep_ratio,sparsity_ratio,_status
1,8,64,128,bf16,cuda,prefill,dense,dense_sdpa,True,,,,,real_cuda,DenseSdpaBackend,0.00391807998996228,0.0040480000898242,0.004209599923342466,0.012933120038360358,0.013088000006973743,0.013311999849975109,0.016142079904675484,0.013311999849975109,0.014047999866306782,0.6298828125,0.0,0.9999998807907104,0.0,1.0,0.0,ok
1,8,64,128,bf16,cuda,prefill,bigbird_keep_ratio,triton_bigbird,True,,0.25,,,real_cuda,triton_bigbird,0.0058368000877089795,0.005936000030487776,0.0063775998307392,0.03347071990370751,0.033536000177264214,0.03500960003584623,0.03688960053026676,0.03680000081658363,0.03881439883261919,0.7529296875,0.2300393432378769,0.9745131731033325,0.0019872608234272303,0.26744186046511625,0.7325581395348837,ok
1,8,64,128,bf16,cuda,prefill,bigbird_keep_ratio,triton_bigbird,True,,0.5,,,real_cuda,triton_bigbird,0.005904000056907535,0.005919999908655882,0.00655680012423545,0.03409792020916939,0.03379200026392937,0.03742720149457454,0.03719040013849735,0.03686400130391121,0.038947198539972305,0.75390625,0.07313737273216248,0.9973336458206177,0.0002012868459154099,0.4476744186046512,0.5523255813953488,ok
1,8,64,128,bf16,cuda,prefill,bigbird,triton_universal,True,64,,,,real_cuda,triton_universal,0.005859200032427907,0.005824000108987093,0.006355200032703578,0.03123712006956339,0.03086400032043457,0.033795200288295746,0.036991360038518904,0.03388800099492073,0.03630880042910575,0.75390625,0.001170516130514443,0.9999994039535522,5.1936452200184294e-08,0.7209302325581395,0.2790697674418605,ok
1,8,64,128,bf16,cuda,prefill,bigbird,triton_universal,True,128,,,,real_cuda,triton_universal,0.006131200129166245,0.006096000084653497,0.006144000217318535,0.03231551987119019,0.030719999223947525,0.03417919911444187,0.034394240230321886,0.034272000193595886,0.035927999578416345,0.7548828125,0.0011961259879171848,0.9999992847442627,5.625519219608317e-08,1.0,0.0,ok
1,8,64,128,bf16,cuda,decode,dense,dense_sdpa,True,,,,,real_cuda,DenseSdpaBackend,0.004013439994305372,0.004095999989658594,0.004545600013807415,0.010485759917646647,0.010832000058144331,0.011264000087976456,0.011143039967864752,0.011183999944478273,0.011508800089359283,0.2529296875,0.0,1.0,0.0,1.0,0.0,ok
1,8,64,128,bf16,cuda,decode,bigbird_keep_ratio,triton_bigbird,True,,0.25,,,real_cuda,triton_bigbird,0.008477439992129803,0.005439999978989363,0.006144000217318535,0.03364096008241177,0.03347200155258179,0.03587520122528076,0.03569344019517302,0.036768000572919846,0.03795519843697548,0.25537109375,1.001041054725647,0.07148636877536774,0.43797945858749626,0.2578125,0.7421875,ok
1,8,64,128,bf16,cuda,decode,bigbird_keep_ratio,triton_bigbird,True,,0.5,,,real_cuda,triton_bigbird,0.005813120072707534,0.005856000119820237,0.006275200028903782,0.03412544004619122,0.03379200026392937,0.03766399994492531,0.049377920301631094,0.03686400130391121,0.18257440030574792,0.25537109375,0.9987399578094482,0.07199396938085556,0.5026772551793689,0.5,0.5,ok
1,8,64,128,bf16,cuda,decode,bigbird,triton_universal,True,64,,,,real_cuda,triton_universal,0.005453440039418638,0.005440000211820006,0.006144000217318535,0.03140416000038385,0.031039999797940254,0.033691199496388435,0.03964480008929968,0.03481600061058998,0.039444799534976475,0.25537109375,1.0165181159973145,-0.04494878649711609,0.5110561102767993,0.5,0.5,ok
1,8,64,128,bf16,cuda,decode,bigbird,triton_universal,True,128,,,,real_cuda,triton_universal,0.005863680057227611,0.005919999908655882,0.00665120002813637,0.03219391994178295,0.03174399957060814,0.035350400581955904,0.034518399983644484,0.034143999218940735,0.03702399879693985,0.25537109375,1.0051040649414062,0.03287174925208092,0.4206853132813957,1.0,0.0,ok
1,8,64,256,bf16,cuda,prefill,dense,dense_sdpa,True,,,,,real_cuda,DenseSdpaBackend,0.003911039994563908,0.004095999989658594,0.004191999789327383,0.016951040029525757,0.016992000862956047,0.01740800030529499,0.01707328010350466,0.017311999574303627,0.01740800030529499,1.2587890625,0.0,1.0000001192092896,0.0,1.0,0.0,ok
1,8,64,256,bf16,cuda,prefill,bigbird_keep_ratio,triton_bigbird,True,,0.25,,,real_cuda,triton_bigbird,0.005822720061987638,0.00596800004132092,0.006144000217318535,0.03395776018500328,0.03377600014209747,0.03633759897202253,0.041242880625650284,0.03739199973642826,0.039665600284934044,1.75732421875,0.3524121344089508,0.9427947998046875,0.0027546247251499984,0.24078915369649806,0.7592108463035019,ok
1,8,64,256,bf16,cuda,prefill,bigbird_keep_ratio,triton_bigbird,True,,0.5,,,real_cuda,triton_bigbird,0.013629440204240381,0.0060800001956522465,0.007308800145983692,0.03972415991127491,0.033296000212430954,0.043419200740754574,0.03739008069038391,0.03718400001525879,0.03864159993827343,1.7587890625,0.23335379362106323,0.9738675355911255,0.0011848756776941872,0.46303501945525294,0.5369649805447471,ok
