batch_size,num_heads,head_dim,seq_len,dtype,device,mode,pattern_type,backend,causal,topk,window_size,block_size,timing_source,actual_backend,total_time_ms_mean,total_time_ms_p50,total_time_ms_p95,peak_memory_mb,rel_err,cosine_sim,kl_divergence,top1_match_rate,_status
10,8,256,64,fp16,cuda,decode,bigbird2,masked_sdpa,True,64,,,proxy,MaskedSdpaBackend,0.5189497599005699,0.5148639976978302,0.5480367988348007,27.90087890625,0.3055870532989502,0.9535007476806641,5.850725705780753e-31,1.0,ok
10,8,256,64,fp16,cuda,decode,bigbird2,masked_sdpa,True,128,,,proxy,MaskedSdpaBackend,0.5221878385543823,0.5171200037002563,0.5531647801399231,27.9013671875,0.32385268807411194,0.9476176500320435,4.904734663598193e-43,1.0,ok
10,8,256,64,fp16,cuda,decode,bigbird2,triton_bigbird,True,64,,,real_cuda,triton_bigbird,0.4433859184384346,0.4402720034122467,0.4709616124629974,27.90087890625,0.3209005296230316,0.9485346078872681,3.4973597869253527e-41,1.0,ok
10,8,256,64,fp16,cuda,decode,bigbird2,triton_bigbird,True,128,,,real_cuda,triton_bigbird,0.444329280257225,0.43932799994945526,0.4650880008935928,27.9013671875,0.3000424802303314,0.9551907777786255,9.777982835261304e-41,1.0,ok
10,8,256,128,fp16,cuda,prefill,dense,dense_sdpa,True,,,,real_cuda,DenseSdpaBackend,0.4634316799044609,0.4556800127029419,0.5032880127429962,85.91259765625,0.0,1.0,0.0,1.0,ok
10,8,256,128,fp16,cuda,prefill,bigbird,masked_sdpa,True,64,,,proxy,MaskedSdpaBackend,0.6331324815750122,0.6305919885635376,0.6605424135923386,94.95947265625,0.019164947792887688,0.999816358089447,0.0,1.0,ok
10,8,256,128,fp16,cuda,prefill,bigbird,masked_sdpa,True,128,,,proxy,MaskedSdpaBackend,0.6336355209350586,0.6292960047721863,0.6616063714027405,94.96044921875,0.00038118509110063314,0.9999998807907104,5.7315574863788976e-43,1.0,ok
10,8,256,128,fp16,cuda,prefill,bigbird,triton_bigbird,True,64,,,real_cuda,triton_bigbird,0.5287056005001068,0.5242879986763,0.563334396481514,77.20458984375,0.0003243778774049133,1.0,0.0,1.0,ok
10,8,256,128,fp16,cuda,prefill,bigbird,triton_bigbird,True,128,,,real_cuda,triton_bigbird,0.5360032016038895,0.5284320116043091,0.5786143779754639,77.20556640625,0.0003222771338187158,0.9999999403953552,0.0,1.0,ok
10,8,256,128,fp16,cuda,prefill,bigbird2,masked_sdpa,True,64,,,proxy,MaskedSdpaBackend,0.6349039989709854,0.6276800036430359,0.6758464187383652,94.95947265625,0.016363320872187614,0.9998661279678345,1.2077629985336142e-33,1.0,ok
10,8,256,128,fp16,cuda,prefill,bigbird2,masked_sdpa,True,128,,,proxy,MaskedSdpaBackend,0.6336847990751266,0.628031998872757,0.6695343792438507,94.96044921875,0.000377220829250291,1.0,0.0,1.0,ok
10,8,256,128,fp16,cuda,prefill,bigbird2,triton_bigbird,True,64,,,real_cuda,triton_bigbird,0.5293136006593704,0.5263360142707825,0.5489152073860168,77.20458984375,0.0003231582813896239,0.9999998807907104,0.0,1.0,ok
10,8,256,128,fp16,cuda,prefill,bigbird2,triton_bigbird,True,128,,,real_cuda,triton_bigbird,0.5313283187150956,0.5252479910850525,0.55934878885746,77.20556640625,0.00032693432876840234,0.9999998807907104,7.402412310709998e-39,1.0,ok
10,8,256,128,fp16,cuda,decode,dense,dense_sdpa,True,,,,real_cuda,DenseSdpaBackend,0.3629065605998039,0.35737600922584534,0.4044272005558014,31.9345703125,0.0,1.0,0.0,1.0,ok
10,8,256,128,fp16,cuda,decode,bigbird,masked_sdpa,True,64,,,proxy,MaskedSdpaBackend,0.5211737585067749,0.5171039998531342,0.551652804017067,32.0634765625,0.3288900554180145,0.9460035562515259,8.253966088713277e-39,1.0,ok
10,8,256,128,fp16,cuda,decode,bigbird,masked_sdpa,True,128,,,proxy,MaskedSdpaBackend,0.5249798423051835,0.5190240144729614,0.5596095979213714,32.064453125,0.33374834060668945,0.9443659782409668,8.779791728834686e-36,1.0,ok
10,8,256,128,fp16,cuda,decode,bigbird,triton_bigbird,True,64,,,real_cuda,triton_bigbird,0.44829984068870543,0.43724799156188965,0.48041279166936873,32.0634765625,0.3191456198692322,0.94911789894104,6.855943125170986e-43,1.0,ok
10,8,256,128,fp16,cuda,decode,bigbird,triton_bigbird,True,128,,,real_cuda,triton_bigbird,0.4427942395210266,0.4376959949731827,0.4718288019299507,32.064453125,0.29220786690711975,0.9572097063064575,1.014351360736283e-45,1.0,ok
10,8,256,128,fp16,cuda,decode,bigbird2,masked_sdpa,True,64,,,proxy,MaskedSdpaBackend,0.5308700805902481,0.5222879946231842,0.5809567958116532,32.0634765625,0.3363496959209442,0.9434257745742798,3.69659980324721e-30,1.0,ok
